"Colour Master — every fabric/item colourway sourced directly from Decora spec files and product datasets (not from the trade book price grids, which only give collection/band, not individual colours). See Notes / Improvements for categories not yet covered.",,,,,
Product Category,Collection,Colour Name,Colour Code,Band,Source File
Contract Vertical,Barclay,Noir,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Barclay,Pure,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Bossa,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Brittany,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Dove,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Duck Egg,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Glade,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Grey Whisper,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Indigo,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Oyster,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Rock,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Bella,Snow,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Blush,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Brulee,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Denim,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Gaze,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Noir,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Oyster,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Sage,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Glimpse,Snow,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Empire,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Fern,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Harmony,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Heritage,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Honey,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Midnight,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Mist,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Shadow,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Sky,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Warmth,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayden,Whisper,,B,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Empire,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Fern,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Harmony,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Heritage,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Honey,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Midnight,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Mist,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Shadow,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Sky,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Warmth,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Hayworth,Whisper,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Rocha,Brulee,,D,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Rocha,Fern,,D,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Rocha,Sky,,D,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Rocha,Wolf,,D,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Soma,Graphite,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Soma,Regal,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Soma,Steel,,C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Splash,Bossa,,A,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Splash,Brittany,,A,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Splash,Dove,,A,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Splash,Duck Egg,,A,Datasets/127mmCruzeVertical.csv (CZ127)
