"Fabric & Item Band Master — every fabric/item mapped to its correct pricing band. Advisors look up here (or via Quick Quote) — never memorise bands. Sorted with real fabrics first; accessory and motorisation items (brackets, chains, remotes, tape colours etc.) are grouped at the bottom of this list and excluded from the Fabric/Item dropdown, so scrolling the dropdown only shows fabrics.",,,,,,,,,,
FB_ID,Supplier,Product Category,Collection,Fabric/Item Name,Fabric/Item Code,Band,Price Table Reference,Fabric Type/Properties,Blackout/Dimout/Sheer/FR/Moisture Resistant,Notes
FB-00223,Decora,Contract Roller,32MM/40MM CRUZE® BACKBAR,32MM/40MM CRUZE® BACKBAR,,32MM/40MM CRUZE® BACKBAR,PT-00033,,,Single item/variant (no discrete fabric list found)
FB-00222,Decora,Contract Roller,70mm Cruze® Fascia,70mm Cruze® Fascia,,70mm Cruze® Fascia,PT-00032,,,Single item/variant (no discrete fabric list found)
FB-01356,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9401,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01357,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9403,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01358,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9404,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01359,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9405,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01360,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9406,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01361,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9407,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01362,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9408,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01363,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9409,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01364,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9410,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01365,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9411,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01366,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,9412,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01212,Decora,Fauxwood,FAUXWOOD - 50MM,Abyss,,FAUXWOOD - 50MM,PT-00165,,,Auto-parsed from fabric list
FB-01232,Decora,Fauxwood,ADDITIONAL INFORMATION: Fauxwood Tapes come with 25mm colour co-ordinated Herringbone tapes as standard.  Any request for non standard tapes will incur a 10% uplift.  Please refer to page 90 for alternative tape options. / FAUXWOOD WITH HERRINGBONE TAPES - 50MM,Abyss,,ADDITIONAL INFORMATION: Fauxwood Tapes come with 25mm colour co-ordinated Herringbone tapes as standard.  Any request for non standard tapes will incur a 10% uplift.  Please refer to page 90 for alternative tape options. / FAUXWOOD WITH HERRINGBONE TAPES - 50MM,PT-00167,,,Auto-parsed from fabric list
FB-00347,Decora,Cruze FH & Tensioned,,Addison,,Price Band D,PT-00061,,,Auto-parsed from fabric list
FB-00398,Decora,Perfect Fit Cruze TDBU,*Max size for Bowery  is 1200mm x 1600mm / Price Band D,Addison,,Price Band D,PT-00066,,,Auto-parsed from fabric list
FB-00449,Decora,Perfect Fit Cruze BU,*Max size for Bowery  is 1200mm x 1600mm / Price Band D,Addison,,Price Band D,PT-00071,,,Auto-parsed from fabric list
FB-00496,Decora,Cruze Fit To Frame,,Addison,,Price Band D,PT-00076,,,Auto-parsed from fabric list
FB-00543,Decora,FB Softcell V-Series,,Addison,,Price Band D,PT-00081,,,Auto-parsed from fabric list
FB-00313,Decora,Cruze FH & Tensioned,**Max size for Bowery is 1200mm x 1600mm,Adia,,Price Band B,PT-00059,,,Auto-parsed from fabric list
FB-00364,Decora,Perfect Fit Cruze TDBU,Price Band B,Adia,,Price Band B,PT-00064,,,Auto-parsed from fabric list
FB-00415,Decora,Perfect Fit Cruze BU,Price Band B,Adia,,Price Band B,PT-00069,,,Auto-parsed from fabric list
FB-00462,Decora,Cruze Fit To Frame,,Adia,,Price Band B,PT-00074,,,Auto-parsed from fabric list
FB-00509,Decora,FB Softcell V-Series,,Adia,,Price Band B,PT-00079,,,Auto-parsed from fabric list
FB-00068,Decora,FB Roller,,Aki,,PRICE RANGE E,PT-00005,,,Auto-parsed from fabric list
FB-00282,Decora,Perfect Fit Roller,,Aki,,PRICE RANGE E,PT-00041,,,Auto-parsed from fabric list
FB-00020,Decora,FB Roller,,Akita,,PRICE RANGE C,PT-00003,,,Auto-parsed from fabric list
FB-00158,Decora,FB Panels,,Akita,,PRICE RANGE C,PT-00024,,,Auto-parsed from fabric list
FB-00247,Decora,Perfect Fit Roller,Hayworth / Kelso / Mood / Messina / Lottie / Puriti / PERFECT FIT UNIVERSAL FRAME / Orissa / Mallory / Renzo,Akita,,PRICE RANGE C,PT-00039,,,Auto-parsed from fabric list
FB-00061,Decora,FB Roller,,Akita Blockout,,PRICE RANGE D,PT-00004,,,Auto-parsed from fabric list
FB-00330,Decora,Cruze FH & Tensioned,,Akona,,Price Band C,PT-00060,,,Auto-parsed from fabric list
FB-00381,Decora,Perfect Fit Cruze TDBU,Price Band C,Akona,,Price Band C,PT-00065,,,Auto-parsed from fabric list
FB-00432,Decora,Perfect Fit Cruze BU,Price Band C,Akona,,Price Band C,PT-00070,,,Auto-parsed from fabric list
FB-00479,Decora,Cruze Fit To Frame,,Akona,,Price Band C,PT-00075,,,Auto-parsed from fabric list
FB-00526,Decora,FB Softcell V-Series,,Akona,,Price Band C,PT-00080,,,Auto-parsed from fabric list
FB-01455,Decora,Timberlux Prime,50MM TIMBERLUX® BASSWOOD,Alabaster,,50MM TIMBERLUX® BASSWOOD,PT-00185,,,Auto-parsed from fabric list
FB-00216,Decora,Contract Roller,,Alara,,PRICE RANGE E,PT-00030,,,Auto-parsed from fabric list
FB-01044,Decora,Contract Vertical,Alara,Alara,,PRICE RANGE E,PT-00141,,,Single item/variant (no discrete fabric list found)
FB-01082,Decora,Durashade,,Alaya,,PRICE RANGE B,PT-00151,,,Auto-parsed from fabric list
FB-00314,Decora,Cruze FH & Tensioned,**Max size for Bowery is 1200mm x 1600mm,Aliz,,Price Band B,PT-00059,,,Auto-parsed from fabric list
FB-00365,Decora,Perfect Fit Cruze TDBU,Price Band B,Aliz,,Price Band B,PT-00064,,,Auto-parsed from fabric list
FB-00416,Decora,Perfect Fit Cruze BU,Price Band B,Aliz,,Price Band B,PT-00069,,,Auto-parsed from fabric list
FB-00463,Decora,Cruze Fit To Frame,,Aliz,,Price Band B,PT-00074,,,Auto-parsed from fabric list
FB-00510,Decora,FB Softcell V-Series,,Aliz,,Price Band B,PT-00079,,,Auto-parsed from fabric list
FB-01456,Decora,Timberlux Prime,50MM TIMBERLUX® BASSWOOD,Alpine,,50MM TIMBERLUX® BASSWOOD,PT-00185,,,Auto-parsed from fabric list
FB-00021,Decora,FB Roller,,Altea,,PRICE RANGE C,PT-00003,,,Auto-parsed from fabric list
FB-00159,Decora,FB Panels,,Altea,,PRICE RANGE C,PT-00024,,,Auto-parsed from fabric list
FB-00248,Decora,Perfect Fit Roller,Hayworth / Kelso / Mood / Messina / Lottie / Puriti / PERFECT FIT UNIVERSAL FRAME / Orissa / Mallory / Renzo,Altea,,PRICE RANGE C,PT-00039,,,Auto-parsed from fabric list
FB-00964,Decora,FB Verticals,,Altea,,PRICE RANGE C,PT-00131,,,Auto-parsed from fabric list
FB-01005,Decora,FB Slats Only ,,Altea,,PRICE RANGE C,PT-00135,,,Auto-parsed from fabric list
FB-01236,Decora,25mm Alumitex,PLAIN/METALLIC - 25MM,Aluminium,,PLAIN/METALLIC - 25MM,PT-00169,,,Auto-parsed from fabric list
FB-01406,Decora,Prime Alumitex,16mm Prime Alumitex,Aluminium,,16mm Prime Alumitex,PT-00181,,,Auto-parsed from fabric list
FB-01301,Decora,25mm Alumitex,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,Aluminium Filtra,,BRUSHED/FILTRA/CARUSO/WOODLINE/STRIPE/HAMMERED/TEXTURED/PREMIUM METALLIC - 25MM,PT-00170,,,Auto-parsed from fabric list
FB-01418,Decora,Prime Alumitex,ALUMITEX PRIME VENETIANS - 35/50MM / ALUMITEX PRIME VENETIANS WITH TAPES - 35/50MM / Price Band A,Aluminium*,,Price Band A,PT-00182,,,Auto-parsed from fabric list
FB-00054,Decora,FB Roller,,Alvor,,PRICE RANGE D,PT-00004,,,Auto-parsed from fabric list
FB-00192,Decora,FB Panels,,Alvor,,PRICE RANGE D,PT-00025,,,Auto-parsed from fabric list
FB-00984,Decora,FB Verticals,,Alvor,,PRICE RANGE D,PT-00132,,,Auto-parsed from fabric list
FB-01025,Decora,FB Slats Only ,,Alvor,,PRICE RANGE D,PT-00136,,,Auto-parsed from fabric list
FB-01083,Decora,Durashade,,Amari,,PRICE RANGE B,PT-00151,,,Auto-parsed from fabric list
FB-01195,Decora,Fauxwood,FAUXWOOD - 35/50MM,Amber,,FAUXWOOD - 35/50MM,PT-00164,,,Auto-parsed from fabric list
